time,roll,pitch,yaw,roll_mod,pitch_mod,yaw_mod
1572379265.37,2.4375,-0.234375,74.828125,2.4374999999999996,-0.23437499999999983,74.828125
1572379265.39,2.4375,-0.234375,74.828125,2.4374999999999996,-0.23437499999999983,74.828125
1572379265.46,2.4375,-0.234375,74.890625,2.4374999999999996,-0.2343750000000002,74.89062499999999
1572379265.46,2.4375,-0.234375,74.859375,2.437499999999999,-0.23437500000000003,74.85937499999999
1572379265.46,2.453125,-0.25,74.953125,2.4531250000000004,-0.2500000000000003,74.95312500000001
1572379265.47,2.453125,-0.25,74.953125,2.4531250000000004,-0.2500000000000003,74.95312500000001
1572379265.49,2.453125,-0.25,75.046875,2.4531250000000004,-0.24999999999999992,75.04687500000003
1572379265.51,2.453125,-0.25,75.046875,2.4531250000000004,-0.24999999999999992,75.04687500000003
1572379265.53,2.453125,-0.25,75.109375,2.453125,-0.2500000000000001,75.109375
1572379265.55,2.453125,-0.25,75.109375,2.453125,-0.2500000000000001,75.109375
1572379265.57,2.453125,-0.25,75.140625,2.453125,-0.2500000000000001,75.14062500000001
1572379265.59,2.453125,-0.25,75.140625,2.453125,-0.2500000000000001,75.14062500000001
1572379265.61,2.453125,-0.25,75.171875,2.453125,-0.24999999999999992,75.171875
1572379265.63,2.453125,-0.25,75.171875,2.453125,-0.24999999999999992,75.171875
1572379265.65,2.453125,-0.25,75.171875,2.453125,-0.24999999999999992,75.171875
1572379265.67,2.453125,-0.25,75.171875,2.453125,-0.24999999999999992,75.171875
1572379265.73,2.453125,-0.265625,75.203125,2.4531250000000004,-0.265625,75.20312500000001
1572379265.73,2.453125,-0.265625,75.203125,2.4531250000000004,-0.265625,75.20312500000001
1572379265.73,2.453125,-0.265625,75.203125,2.4531250000000004,-0.265625,75.20312500000001
1572379265.78,2.453125,-0.265625,75.3125,2.453124999999999,-0.26562500000000006,75.3125
1572379265.78,2.453125,-0.265625,75.28125,2.453125,-0.26562500000000006,75.28125
1572379265.8,2.453125,-0.265625,75.3125,2.453124999999999,-0.26562500000000006,75.3125
1572379265.81,2.4375,-0.265625,75.359375,2.4375000000000004,-0.26562499999999983,75.359375
1572379265.83,2.4375,-0.265625,75.359375,2.4375000000000004,-0.26562499999999983,75.359375
1572379265.85,2.4375,-0.265625,75.359375,2.4375000000000004,-0.26562499999999983,75.359375
1572379265.87,2.4375,-0.28125,75.421875,2.4375,-0.2812500000000002,75.42187500000001
1572379265.89,2.4375,-0.28125,75.421875,2.4375,-0.2812500000000002,75.42187500000001
1572379265.95,2.421875,-0.28125,75.515625,2.4218749999999996,-0.2812500000000001,75.515625
1572379265.95,2.4375,-0.28125,75.46875,2.4375,-0.2812500000000002,75.46875
1572379265.95,2.421875,-0.28125,75.515625,2.4218749999999996,-0.2812500000000001,75.515625
1572379265.97,2.421875,-0.28125,75.515625,2.4218749999999996,-0.2812500000000001,75.515625
1572379265.99,2.421875,-0.28125,75.515625,2.4218749999999996,-0.2812500000000001,75.515625
1572379266.01,2.421875,-0.28125,75.546875,2.421875,-0.2812500000000002,75.54687500000001
1572379266.03,2.421875,-0.28125,75.546875,2.421875,-0.2812500000000002,75.54687500000001
1572379266.05,2.421875,-0.28125,75.546875,2.421875,-0.2812500000000002,75.54687500000001
1572379266.07,2.421875,-0.28125,75.5625,2.4218749999999996,-0.2812499999999996,75.5625
1572379266.1,2.421875,-0.28125,75.609375,2.4218749999999996,-0.28125,75.60937500000001
1572379266.12,2.40625,-0.296875,75.65625,2.40625,-0.29687500000000033,75.65625000000001
1572379266.13,2.40625,-0.296875,75.65625,2.40625,-0.29687500000000033,75.65625000000001
1572379266.15,2.40625,-0.296875,75.703125,2.40625,-0.2968750000000001,75.703125
1572379266.17,2.40625,-0.296875,75.703125,2.40625,-0.2968750000000001,75.703125
1572379266.21,2.40625,-0.296875,75.71875,2.4062499999999996,-0.29687499999999994,75.71874999999999
1572379266.21,2.40625,-0.296875,75.703125,2.40625,-0.2968750000000001,75.703125
1572379266.23,2.40625,-0.296875,75.71875,2.4062499999999996,-0.29687499999999994,75.71874999999999
